pwm,intr,RPM,speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	0,	0,	0.00

40,	0,	0,	0.00

50,	843,	153,	1094.78

60,	1048,	190,	1187.42

70,	1158,	210,	1368.48

80,	1248,	226,	1459.71

90,	1318,	239,	1550.94

100,	1368,	248,	1549.72

110,	1411,	256,	1550.33

120,	1447,	262,	1642.18

130,	1477,	268,	1733.41

140,	1502,	272,	1729.99

150,	1524,	276,	1734.09

160,	1556,	282,	1733.41

170,	1589,	288,	1826.08

180,	1589,	288,	1826.80

190,	1588,	287,	1822.48

200,	1589,	288,	1826.08

210,	1588,	288,	1824.64

220,	1589,	288,	1826.80

230,	1589,	288,	1824.64

240,	1617,	293,	1826.80

250,	1637,	296,	1915.12

260,	1662,	301,	1912.10
