pwm,intr,RPM,speed

0,	0,	0,	0.00

10,	0,	0,	-91.96

20,	666,	120,	822.06

30,	1012,	183,	1184.15

40,	1158,	209,	1186.48

50,	1224,	222,	1368.48

60,	1302,	236,	1367.94

70,	1343,	243,	1460.87

80,	1369,	248,	1550.33

90,	1363,	247,	1549.11

100,	1388,	251,	1552.78

110,	1429,	259,	1552.17

120,	1439,	260,	1644.12

130,	1457,	264,	1639.59

140,	1454,	263,	1643.47

150,	1459,	264,	1642.18

160,	1468,	266,	1731.36

170,	1470,	266,	1641.53

180,	1471,	267,	1641.53

190,	1480,	268,	1733.41

200,	1529,	277,	1641.53

210,	1507,	273,	1735.46

220,	1505,	273,	1642.18

230,	1503,	272,	1733.41

240,	1514,	274,	1729.99

250,	1522,	276,	1735.46

260,	1523,	276,	1732.72
