pwm,intr,RPM,speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	0,	0,	0.00

40,	0,	0,	0.00

50,	0,	0,	0.00

60,	393,	71,	547.18

70,	503,	91,	548.04

80,	600,	108,	639.13

90,	686,	124,	821.74

100,	766,	139,	911.96

110,	847,	153,	1003.16

120,	914,	165,	1095.65

130,	970,	176,	1186.02

140,	1025,	185,	1185.55

150,	1068,	193,	1275.23

160,	1099,	199,	1275.74

170,	1129,	204,	1276.24

180,	1164,	211,	1366.32

190,	1209,	219,	1368.48

200,	1265,	229,	1367.40

210,	1324,	240,	1550.94

220,	1387,	251,	1639.59

230,	1451,	263,	1731.36

240,	1514,	274,	1734.09

250,	1567,	284,	1733.41

260,	1574,	285,	1821.76
