pwm,intr,RPM,speed

260,	1575,	285,	1826.08

250,	1566,	284,	1826.80

240,	1514,	274,	1732.72

230,	1449,	263,	1644.12

220,	1382,	250,	1550.33

210,	1320,	239,	1460.29

200,	1261,	228,	1461.44

190,	1211,	219,	1369.56

180,	1165,	211,	1366.86

170,	1131,	205,	1278.26

160,	1104,	200,	1278.26

150,	1074,	194,	1275.23

140,	1035,	187,	1186.02

130,	982,	178,	1096.08

120,	922,	167,	1004.74

110,	855,	155,	1003.55

100,	781,	141,	820.76

90,	698,	126,	730.14

80,	611,	110,	730.43

70,	521,	94,	547.61

60,	425,	77,	456.16

50,	331,	60,	274.02

40,	241,	43,	182.32

30,	13,	2,	0.00

20,	0,	0,	0.00

10,	0,	0,	0.00

0,	0,	0,	0.00
