pwm,intr,RPM,speed

260,	1516,	274,	1640.88

250,	1514,	274,	1735.46

240,	1508,	273,	1822.48

230,	1520,	275,	1734.78

220,	1534,	278,	1735.46

210,	1535,	278,	1826.80

200,	1526,	277,	1735.46

190,	1522,	276,	1734.78

180,	1508,	273,	1734.09

170,	1493,	271,	1642.82

160,	1490,	270,	1733.41

150,	1484,	269,	1735.46

140,	1486,	269,	1733.41

130,	1476,	267,	1734.78

120,	1465,	265,	1644.12

110,	1444,	262,	1641.53

100,	1426,	258,	1644.12

90,	1408,	255,	1644.12

80,	1383,	250,	1552.78

70,	1360,	246,	1550.33

60,	1314,	238,	1460.29

50,	1267,	230,	1458.56

40,	1200,	217,	1278.26

30,	1071,	194,	1276.74

20,	871,	158,	913.40

10,	475,	86,	547.18

0,	0,	0,	0.00
