pwm,intr,RPM,speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	-82,	-14,	-91.30

40,	1001,	181,	1278.26

50,	1240,	224,	1458.56

60,	1329,	241,	1459.71

70,	1397,	253,	1642.18

80,	1445,	262,	1640.88

90,	1479,	268,	1735.46

100,	1508,	273,	1734.78

110,	1529,	277,	1735.46

120,	1548,	281,	1824.64

130,	1565,	283,	1821.04

140,	1578,	286,	1823.92

150,	1589,	288,	1826.08

160,	1588,	287,	1821.76

170,	1605,	291,	1824.64

180,	1614,	293,	1915.87

190,	1622,	294,	1824.64

200,	1629,	296,	1915.87

210,	1636,	297,	1912.85

220,	1638,	297,	1824.64

230,	1645,	298,	1824.64

240,	1649,	299,	1913.60

250,	1653,	299,	1917.39

260,	1662,	301,	1912.10
