pwm,intr,RPM,speed

260,	1581,	286,	1823.20

250,	1572,	285,	1825.36

240,	1567,	284,	1733.41

230,	1563,	283,	1735.46

220,	1556,	282,	1734.78

210,	1548,	281,	1734.09

200,	1539,	279,	1823.92

190,	1532,	277,	1820.33

180,	1528,	277,	1822.48

170,	1520,	275,	1733.41

160,	1512,	274,	1732.04

150,	1498,	271,	1731.36

140,	1486,	269,	1644.12

130,	1474,	267,	1644.12

120,	1454,	263,	1644.12

110,	1430,	259,	1639.59

100,	1384,	251,	1552.78

90,	1345,	244,	1550.33

80,	1312,	237,	1548.50

70,	1265,	229,	1369.56

60,	1222,	221,	1459.71

50,	1134,	205,	1186.02

40,	1035,	187,	1094.78

30,	872,	158,	1001.97

20,	610,	110,	638.12

10,	201,	36,	0.00

0,	0,	0,	0.00
