pwm,intr,RPM,speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	0,	0,	0.00

40,	0,	0,	0.00

50,	724,	131,	1004.74

60,	979,	177,	1095.65

70,	1089,	197,	1276.74

80,	1167,	211,	1367.94

90,	1191,	216,	1369.56

100,	1226,	222,	1459.71

110,	1270,	230,	1368.48

120,	1334,	242,	1550.94

130,	1368,	248,	1552.78

140,	1383,	251,	1551.56

150,	1420,	257,	1642.18

160,	1436,	260,	1642.18

170,	1444,	262,	1643.47

180,	1461,	264,	1644.12

190,	1473,	267,	1644.12

200,	1482,	269,	1733.41

210,	1499,	272,	1644.12

220,	1493,	270,	1734.78

230,	1506,	273,	1735.46

240,	1524,	276,	1822.48

250,	1567,	284,	1823.20

260,	1583,	287,	1823.20
