pwm,intr,RPM,speed

260,	1582,	286,	1823.92

250,	1565,	284,	1824.64

240,	1548,	281,	1824.64

230,	1536,	278,	1732.72

220,	1528,	277,	1734.09

210,	1503,	272,	1731.36

200,	1434,	260,	1642.18

190,	1452,	263,	1548.50

180,	1419,	257,	1644.12

170,	1389,	252,	1551.56

160,	1371,	248,	1552.17

150,	1381,	250,	1550.33

140,	1389,	252,	1641.53

130,	1368,	248,	1552.78

120,	1336,	242,	1550.94

110,	1296,	235,	1461.44

100,	1258,	228,	1366.32

90,	1221,	221,	1367.94

80,	1150,	208,	1277.75

70,	1081,	196,	1276.74

60,	990,	179,	1094.78

50,	860,	156,	1004.74

40,	705,	127,	821.09

30,	517,	93,	637.62

20,	265,	48,	365.36

10,	10,	1,	0.00

0,	0,	0,	0.00
