pwm,intr,RPM,speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	0,	0,	0.00

40,	420,	76,	456.34

50,	497,	90,	547.18

60,	549,	99,	638.88

70,	613,	111,	729.28

80,	676,	122,	819.47

90,	737,	133,	912.32

100,	802,	145,	911.60

110,	876,	158,	1004.35

120,	943,	170,	1094.78

130,	1004,	182,	1094.78

140,	1072,	194,	1185.55

150,	1142,	207,	1277.25

160,	1208,	219,	1369.02

170,	1271,	230,	1459.14

180,	1333,	242,	1550.33

190,	1392,	252,	1551.56

200,	1439,	261,	1642.82

210,	1481,	268,	1731.36

220,	1517,	275,	1639.59

230,	1543,	280,	1732.04

240,	1561,	283,	1734.78

250,	1564,	283,	1732.72

260,	1563,	283,	1732.72
