pwm,intr,RPM,speed

260,	1663,	301,	1917.39

250,	1653,	300,	1826.08

240,	1603,	290,	1825.36

230,	1540,	279,	1823.92

220,	1470,	266,	1734.78

210,	1407,	255,	1644.12

200,	1346,	244,	1550.33

190,	1290,	234,	1461.44

180,	1242,	225,	1368.48

170,	1207,	218,	1369.56

160,	1180,	214,	1276.74

150,	1149,	208,	1369.56

140,	1108,	201,	1278.76

130,	1054,	191,	1187.42

120,	989,	179,	1184.61

110,	919,	166,	1003.55

100,	840,	152,	913.04

90,	757,	137,	821.09

80,	673,	122,	730.14

70,	579,	105,	638.88

60,	479,	86,	548.04

50,	373,	67,	456.52

40,	261,	47,	273.80

30,	150,	27,	182.32

20,	0,	0,	0.00

10,	0,	0,	0.00

0,	0,	0,	0.00
