pwm,intr,RPM,speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	0,	0,	0.00

40,	0,	0,	0.00

50,	354,	64,	456.70

60,	465,	84,	547.82

70,	555,	100,	638.37

80,	648,	117,	730.14

90,	737,	133,	911.96

100,	821,	149,	912.32

110,	902,	163,	1094.78

120,	977,	177,	1185.55

130,	1040,	188,	1185.55

140,	1092,	198,	1276.24

150,	1135,	206,	1278.26

160,	1168,	212,	1276.74

170,	1200,	217,	1367.94

180,	1237,	224,	1460.29

190,	1287,	233,	1459.14

200,	1343,	243,	1548.50

210,	1403,	254,	1644.12

220,	1469,	266,	1643.47

230,	1539,	279,	1734.09

240,	1601,	290,	1822.48

250,	1653,	299,	1915.12

260,	1660,	301,	1912.85
