pwm_freq,pwm,intr,RPM

31250,	260,	1542,	278

31250,	250,	1541,	278

31250,	240,	1549,	279

31250,	230,	1537,	277

31250,	220,	1511,	272

31250,	210,	1475,	266

31250,	200,	1428,	257

31250,	190,	1378,	248

31250,	180,	1320,	238

31250,	170,	1261,	227

31250,	160,	1196,	216

31250,	150,	1129,	203

31250,	140,	1065,	192

31250,	130,	994,	179

31250,	120,	925,	167

31250,	110,	864,	156

31250,	100,	800,	144

31250,	90,	735,	132

31250,	80,	668,	120

31250,	70,	606,	109

31250,	60,	552,	99

31250,	50,	490,	88

31250,	40,	436,	78

31250,	30,	378,	68

31250,	20,	327,	59

31250,	10,	278,	50

31250,	0,	0,	0

