pwm,intr,RPM,speed

260,	1663,	301,	1826.08

250,	1663,	301,	1912.10

240,	1660,	301,	1913.60

230,	1642,	297,	1824.64

220,	1616,	293,	1826.08

210,	1581,	287,	1823.92

200,	1536,	278,	1735.46

190,	1485,	269,	1733.41

180,	1430,	259,	1644.12

170,	1368,	248,	1549.11

160,	1301,	235,	1459.71

150,	1235,	224,	1368.48

140,	1164,	211,	1370.10

130,	1095,	198,	1275.74

120,	1021,	185,	1185.55

110,	950,	172,	1095.22

100,	881,	159,	1004.74

90,	813,	147,	912.32

80,	743,	134,	822.06

70,	681,	123,	820.44

60,	617,	112,	730.14

50,	551,	100,	638.37

40,	493,	89,	547.82

30,	432,	78,	456.52

20,	373,	67,	364.78

10,	300,	54,	365.22

0,	2,	0,	0.00
