pwm,intr,RPM,speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	0,	0,	0.00

40,	469,	85,	548.04

50,	547,	99,	638.37

60,	610,	110,	729.86

70,	674,	122,	729.86

80,	739,	134,	821.41

90,	809,	146,	911.24

100,	875,	158,	1003.95

110,	941,	170,	1004.35

120,	1008,	182,	1095.22

130,	1083,	196,	1276.74

140,	1157,	210,	1370.10

150,	1229,	222,	1370.10

160,	1298,	235,	1459.71

170,	1366,	248,	1551.56

180,	1427,	259,	1641.53

190,	1483,	269,	1642.82

200,	1536,	278,	1734.09

210,	1581,	287,	1733.41

220,	1617,	293,	1826.80

230,	1643,	297,	1824.64

240,	1660,	301,	1826.08

250,	1663,	301,	1823.20

260,	1663,	301,	1912.10
