pwm,intr,RPM,speed

260,	1660,	301,	1910.59

250,	1655,	300,	1915.12

240,	1652,	299,	1917.39

230,	1648,	299,	1912.10

220,	1644,	298,	1824.64

210,	1639,	297,	1826.08

200,	1635,	296,	1914.36

190,	1628,	295,	1913.60

180,	1621,	294,	1823.92

170,	1611,	292,	1826.80

160,	1603,	291,	1826.80

150,	1597,	289,	1826.80

140,	1589,	288,	1823.92

130,	1578,	286,	1826.08

120,	1566,	284,	1823.92

110,	1548,	281,	1734.78

100,	1535,	278,	1732.04

90,	1515,	274,	1732.72

80,	1487,	269,	1730.67

70,	1462,	265,	1641.53

60,	1422,	258,	1640.23

50,	1369,	248,	1550.94

40,	1289,	234,	1458.56

30,	1168,	211,	1276.74

20,	927,	168,	1004.74

10,	527,	95,	456.16

0,	4,	0,	0.00
