pwm,intr,RPM,speed

0,	0,	0,	0.00

10,	5,	0,	-91.92

20,	716,	130,	912.32

30,	1092,	198,	1278.76

40,	1244,	225,	1461.44

50,	1346,	244,	1460.87

60,	1414,	256,	1643.47

70,	1459,	264,	1644.12

80,	1492,	270,	1735.46

90,	1511,	274,	1731.36

100,	1534,	278,	1640.88

110,	1550,	281,	1822.48

120,	1565,	284,	1735.46

130,	1579,	286,	1821.76

140,	1589,	288,	1733.41

150,	1599,	290,	1826.08

160,	1609,	292,	1823.20

170,	1615,	292,	1824.64

180,	1620,	294,	1913.60

190,	1628,	295,	1824.64

200,	1634,	296,	1823.20

210,	1640,	297,	1826.80

220,	1645,	298,	1826.80

230,	1650,	299,	1915.87

240,	1654,	300,	1826.08

250,	1658,	301,	1915.87

260,	1662,	301,	1912.10
