pwm,intr,RPM,speed

260,	1662,	301,	1915.12

250,	1638,	297,	1915.87

240,	1617,	293,	1826.80

230,	1589,	288,	1826.80

220,	1589,	288,	1826.80

210,	1588,	287,	1824.64

200,	1589,	288,	1734.78

190,	1589,	288,	1825.36

180,	1589,	288,	1822.48

170,	1588,	288,	1824.64

160,	1589,	288,	1823.92

150,	1587,	287,	1826.08

140,	1503,	272,	1732.72

130,	1477,	268,	1644.12

120,	1451,	263,	1640.23

110,	1415,	256,	1643.47

100,	1377,	250,	1552.78

90,	1327,	240,	1550.94

80,	1265,	229,	1457.98

70,	1187,	215,	1276.74

60,	1082,	196,	1277.25

50,	957,	173,	1093.49

40,	792,	143,	821.74

30,	589,	106,	638.88

20,	342,	62,	273.59

10,	17,	3,	0.00

0,	0,	0,	0.00
