pwm,intr,RPM,speed

260,	1563,	283,	1826.08

250,	1562,	283,	1823.20

240,	1559,	283,	1824.64

230,	1541,	279,	1735.46

220,	1515,	275,	1733.41

210,	1480,	268,	1644.12

200,	1444,	261,	1642.18

190,	1392,	252,	1640.23

180,	1340,	243,	1550.94

170,	1281,	232,	1459.71

160,	1219,	221,	1367.94

150,	1151,	208,	1369.56

140,	1083,	196,	1275.74

130,	1016,	184,	1094.35

120,	948,	172,	1094.78

110,	880,	159,	1003.55

100,	811,	147,	820.76

90,	746,	135,	913.40

80,	678,	123,	730.14

70,	615,	111,	728.99

60,	551,	100,	546.74

50,	500,	90,	548.04

40,	439,	79,	456.70

30,	384,	69,	456.52

20,	322,	58,	365.22

10,	255,	46,	273.59

0,	1,	0,	0.00
