pwm,intr,RPM,speed

260,	1413,	256,	1550.33

250,	1412,	256,	1551.56

240,	1411,	255,	1640.23

230,	1405,	255,	1640.23

220,	1386,	251,	1552.17

210,	1357,	246,	1550.94

200,	1321,	239,	1550.94

190,	1279,	232,	1458.56

180,	1231,	223,	1370.10

170,	1178,	213,	1276.74

160,	1119,	203,	1278.26

150,	1056,	191,	1186.95

140,	985,	178,	1095.65

130,	911,	165,	1004.35

120,	831,	150,	1004.74

110,	755,	137,	821.09

100,	682,	123,	821.09

90,	608,	110,	638.37

80,	529,	96,	547.39

70,	457,	82,	548.04

60,	387,	70,	456.52

50,	321,	58,	273.59

40,	262,	47,	273.70

30,	180,	32,	182.68

20,	117,	21,	0.00

10,	0,	0,	0.00

0,	0,	0,	0.00

