pwm,intr,RPM,speed

260,	1413,	256,	1552.17

250,	1407,	255,	1552.78

240,	1403,	254,	1639.59

230,	1398,	253,	1552.78

220,	1392,	252,	1641.53

210,	1387,	251,	1638.29

200,	1378,	250,	1552.17

190,	1370,	248,	1551.56

180,	1363,	247,	1547.89

170,	1357,	246,	1552.17

160,	1349,	244,	1461.44

150,	1339,	243,	1550.33

140,	1329,	240,	1461.44

130,	1319,	239,	1459.14

120,	1305,	236,	1459.71

110,	1292,	234,	1459.71

100,	1273,	231,	1369.02

90,	1251,	227,	1457.98

80,	1226,	222,	1368.48

70,	1193,	216,	1277.25

60,	1151,	208,	1278.76

50,	1093,	198,	1186.02

40,	1002,	181,	1093.49

30,	870,	157,	912.32

20,	657,	119,	730.43

10,	264,	47,	91.20

0,	0,	0,	0.00
