pwm,intr,RPM,speed

260,	1367,	248,	1641.53

250,	1367,	247,	1639.59

240,	1366,	248,	1550.94

230,	1360,	246,	1552.78

220,	1340,	243,	1550.33

210,	1312,	237,	1459.71

200,	1277,	231,	1461.44

190,	1236,	224,	1367.40

180,	1189,	215,	1367.94

170,	1137,	206,	1277.25

160,	1082,	196,	1276.24

150,	1019,	184,	1186.02

140,	951,	172,	1096.08

130,	879,	159,	913.04

120,	808,	146,	911.96

110,	737,	133,	821.74

100,	669,	121,	820.76

90,	602,	109,	728.99

80,	533,	96,	638.37

70,	465,	84,	456.52

60,	403,	73,	455.98

50,	343,	62,	455.98

40,	286,	51,	273.59

30,	235,	42,	273.91

20,	187,	33,	182.39

10,	156,	28,	182.39

0,	0,	0,	0.00
