pwm,intr,RPM,speed

260,	1368,	248,	1550.33

250,	1361,	247,	1552.78

240,	1355,	245,	1550.94

230,	1351,	245,	1550.94

220,	1344,	243,	1549.11

210,	1338,	242,	1551.56

200,	1331,	241,	1459.14

190,	1324,	240,	1551.56

180,	1316,	238,	1552.78

170,	1309,	237,	1548.50

160,	1299,	235,	1458.56

150,	1289,	234,	1459.71

140,	1277,	231,	1457.98

130,	1264,	229,	1459.71

120,	1248,	226,	1368.48

110,	1230,	223,	1460.29

100,	1203,	218,	1369.02

90,	1177,	213,	1277.25

80,	1138,	206,	1276.74

70,	1087,	197,	1186.95

60,	1014,	183,	1186.95

50,	923,	167,	1003.55

40,	802,	145,	821.09

30,	629,	114,	638.88

20,	360,	65,	273.70

10,	10,	1,	0.00

0,	0,	0,	0.00
