pwm,intr,RPM,speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	0,	0,	0.00

40,	0,	0,	0.00

50,	0,	0,	0.00

60,	0,	0,	0.00

70,	1028,	186,	1186.95

80,	1128,	204,	1278.76

90,	1168,	212,	1278.76

100,	1197,	217,	1369.56

110,	1224,	221,	1459.14

120,	1243,	225,	1369.56

130,	1259,	228,	1459.14

140,	1272,	230,	1459.14

150,	1284,	233,	1461.44

160,	1293,	234,	1548.50

170,	1300,	236,	1459.71

180,	1306,	237,	1460.87

190,	1312,	238,	1457.98

200,	1317,	238,	1459.14

210,	1325,	240,	1549.11

220,	1334,	241,	1459.14

230,	1346,	244,	1549.11

240,	1352,	245,	1550.33

250,	1355,	246,	1549.11

260,	1360,	246,	1550.33
