pwm,intr,RPM,speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	0,	0,	0.00

40,	0,	0,	0.00

50,	0,	0,	0.00

60,	0,	0,	0.00

70,	1065,	193,	1278.76

80,	1193,	216,	1369.56

90,	1226,	222,	1369.02

100,	1249,	226,	1368.48

110,	1271,	230,	1459.14

120,	1289,	234,	1461.44

130,	1304,	236,	1460.29

140,	1316,	238,	1459.71

150,	1329,	241,	1552.17

160,	1340,	243,	1549.72

170,	1348,	244,	1552.17

180,	1357,	246,	1552.78

190,	1366,	248,	1549.72

200,	1372,	248,	1640.23

210,	1379,	250,	1552.78

220,	1387,	251,	1552.78

230,	1394,	252,	1642.18

240,	1400,	254,	1550.94

250,	1405,	255,	1642.18

260,	1414,	256,	1641.53
