pwm,intr,RPM,speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	0,	0,	0.00

40,	0,	0,	0.00

50,	0,	0,	0.00

60,	0,	0,	0.00

70,	0,	0,	0.00

80,	0,	0,	0.00

90,	0,	0,	0.00

100,	0,	0,	0.00

110,	0,	0,	0.00

120,	0,	0,	0.00

130,	0,	0,	0.00

140,	0,	0,	0.00

150,	959,	174,	1187.42

160,	1108,	201,	1277.75

170,	1169,	212,	1367.94

180,	1225,	222,	1367.40

190,	1275,	231,	1459.14

200,	1318,	239,	1458.56

210,	1356,	245,	1552.78

220,	1386,	251,	1639.59

230,	1405,	254,	1552.78

240,	1411,	256,	1640.88

250,	1413,	256,	1640.23

260,	1412,	256,	1550.94
