pwm,intr,RPM,speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	-1,	0,	0.00

40,	0,	0,	0.00

50,	0,	0,	0.00

60,	0,	0,	0.00

70,	0,	0,	0.00

80,	0,	0,	0.00

90,	0,	0,	0.00

100,	1122,	203,	1368.48

110,	1224,	221,	1458.56

120,	1240,	225,	1367.94

130,	1257,	228,	1368.48

140,	1273,	230,	1369.02

150,	1285,	233,	1457.41

160,	1295,	235,	1457.98

170,	1305,	236,	1550.94

180,	1315,	238,	1548.50

190,	1322,	239,	1461.44

200,	1328,	241,	1461.44

210,	1334,	242,	1459.14

220,	1341,	243,	1552.78

230,	1347,	244,	1549.11

240,	1354,	245,	1550.94

250,	1360,	246,	1552.17

260,	1368,	248,	1549.72
