pwm,intr,RPM,speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	0,	0,	0.00

40,	0,	0,	0.00

50,	0,	0,	0.00

60,	0,	0,	0.00

70,	0,	0,	0.00

80,	0,	0,	0.00

90,	0,	0,	0.00

100,	0,	0,	0.00

110,	0,	0,	0.00

120,	0,	0,	0.00

130,	0,	0,	0.00

140,	0,	0,	0.00

150,	0,	0,	0.00

160,	0,	0,	0.00

170,	951,	172,	1093.92

180,	989,	179,	1185.55

190,	988,	179,	1095.65

200,	989,	179,	1187.42

210,	1014,	184,	1186.02

220,	1091,	198,	1276.24

230,	1184,	214,	1369.02

240,	1300,	236,	1459.14

250,	1365,	247,	1550.33

260,	1368,	248,	1550.33
