pwm,intr,RPM,speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	0,	0,	0.00

40,	0,	0,	0.00

50,	0,	0,	0.00

60,	0,	0,	0.00

70,	0,	0,	0.00

80,	0,	0,	0.00

90,	0,	0,	0.00

100,	0,	0,	0.00

110,	0,	0,	0.00

120,	0,	0,	0.00

130,	0,	0,	0.00

140,	0,	0,	0.00

150,	0,	0,	0.00

160,	0,	0,	0.00

170,	901,	163,	1186.95

180,	1010,	183,	1186.48

190,	1013,	183,	1185.55

200,	1014,	184,	1185.55

210,	1043,	189,	1185.55

220,	1121,	203,	1277.75

230,	1219,	221,	1368.48

240,	1339,	243,	1552.17

250,	1408,	255,	1550.33

260,	1414,	256,	1640.23
