pwm,intr,RPM,speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	0,	0,	0.00

40,	0,	0,	0.00

50,	0,	0,	0.00

60,	0,	0,	0.00

70,	0,	0,	0.00

80,	0,	0,	0.00

90,	0,	0,	0.00

100,	965,	174,	1186.02

110,	1105,	200,	1276.74

120,	1147,	208,	1366.86

130,	1178,	213,	1370.10

140,	1199,	217,	1366.86

150,	1217,	220,	1369.02

160,	1240,	225,	1457.98

170,	1257,	227,	1459.71

180,	1272,	230,	1459.14

190,	1286,	233,	1459.14

200,	1298,	235,	1460.87

210,	1309,	237,	1548.50

220,	1319,	239,	1459.14

230,	1328,	241,	1552.17

240,	1337,	242,	1457.98

250,	1344,	243,	1458.56

260,	1372,	248,	1551.56
