pwm,intr,RPM,speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	0,	0,	0.00

40,	0,	0,	0.00

50,	0,	0,	0.00

60,	0,	0,	0.00

70,	0,	0,	0.00

80,	0,	0,	0.00

90,	0,	0,	0.00

100,	0,	0,	0.00

110,	0,	0,	0.00

120,	0,	0,	0.00

130,	0,	0,	0.00

140,	0,	0,	0.00

150,	916,	166,	1186.02

160,	1064,	193,	1187.42

170,	1126,	204,	1276.24

180,	1187,	215,	1370.10

190,	1237,	224,	1457.41

200,	1278,	231,	1456.84

210,	1313,	238,	1460.29

220,	1342,	243,	1550.33

230,	1364,	247,	1552.78

240,	1368,	248,	1550.94

250,	1368,	248,	1550.33

260,	1370,	248,	1548.50
