pwm,intr,RPM,speed

260,	1366,	248,	1549.11

250,	1362,	246,	1552.17

240,	1293,	234,	1460.87

230,	1180,	214,	1370.10

220,	1092,	198,	1278.76

210,	1020,	185,	1186.02

200,	994,	180,	1094.78

190,	995,	180,	1095.22

180,	996,	180,	1094.35

170,	996,	180,	1094.78

160,	971,	176,	1094.35

150,	908,	164,	1003.95

140,	820,	148,	1002.76

130,	735,	133,	821.09

120,	662,	120,	730.43

110,	605,	109,	638.12

100,	555,	100,	637.87

90,	492,	89,	548.04

80,	408,	74,	456.34

70,	296,	53,	273.59

60,	169,	30,	182.54

50,	-1,	0,	0.00

40,	0,	0,	0.00

30,	0,	0,	0.00

20,	0,	0,	0.00

10,	0,	0,	0.00

0,	0,	0,	0.00
