pwm,intr,RPM,speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	0,	0,	0.00

40,	0,	0,	0.00

50,	0,	0,	0.00

60,	0,	0,	0.00

70,	0,	0,	0.00

80,	0,	0,	0.00

90,	0,	0,	0.00

100,	0,	0,	0.00

110,	0,	0,	0.00

120,	0,	0,	0.00

130,	0,	0,	0.00

140,	0,	0,	0.00

150,	0,	0,	0.00

160,	0,	0,	0.00

170,	874,	158,	1094.78

180,	983,	178,	1095.65

190,	981,	178,	1186.02

200,	980,	177,	1184.61

210,	1006,	182,	1096.08

220,	1081,	196,	1276.74

230,	1180,	214,	1277.25

240,	1295,	235,	1459.71

250,	1361,	247,	1548.50

260,	1368,	248,	1549.72
