pwm,intr,RPM,speed

260,	1368,	248,	1550.33

250,	1364,	247,	1552.17

240,	1297,	235,	1460.29

230,	1186,	215,	1367.94

220,	1095,	198,	1276.24

210,	1019,	184,	1186.02

200,	985,	178,	1096.08

190,	981,	178,	1094.35

180,	983,	178,	1095.65

170,	980,	177,	1184.61

160,	956,	173,	1092.63

150,	897,	162,	1003.16

140,	813,	147,	913.40

130,	729,	132,	821.09

120,	653,	118,	819.79

110,	586,	106,	638.37

100,	531,	96,	638.88

90,	466,	84,	456.34

80,	378,	68,	456.16

70,	259,	47,	274.02

60,	82,	14,	0.00

50,	0,	0,	0.00

40,	0,	0,	0.00

30,	0,	0,	0.00

20,	0,	0,	0.00

10,	0,	0,	0.00

0,	0,	0,	0.00
