pwm,intr,RPM,speed

0,	0,	0,	0.00

10,	-1,	0,	0.00

20,	2,	0,	-91.20

30,	23,	4,	-91.99

40,	216,	39,	547.82

50,	871,	158,	1096.08

60,	1044,	189,	1187.42

70,	1127,	204,	1276.74

80,	1171,	212,	1369.02

90,	1199,	217,	1366.86

100,	1227,	222,	1368.48

110,	1248,	226,	1368.48

120,	1265,	229,	1461.44

130,	1276,	231,	1369.56

140,	1282,	232,	1459.71

150,	1293,	234,	1459.14

160,	1301,	236,	1460.29

170,	1311,	237,	1548.50

180,	1318,	239,	1459.14

190,	1324,	240,	1549.72

200,	1332,	241,	1549.11

210,	1338,	242,	1549.11

220,	1345,	244,	1550.94

230,	1349,	244,	1550.94

240,	1355,	246,	1459.71

250,	1360,	246,	1549.72

260,	1365,	247,	1551.56
