pwm,intr,RPM,speed

260,	1415,	256,	1643.47

250,	1409,	255,	1643.47

240,	1342,	243,	1550.94

230,	1225,	222,	1367.94

220,	1129,	204,	1278.26

210,	1049,	190,	1184.15

200,	1016,	184,	1186.95

190,	1011,	183,	1093.92

180,	1012,	183,	1095.65

170,	1013,	183,	1186.95

160,	991,	179,	1095.65

150,	931,	169,	1003.95

140,	840,	152,	911.96

130,	748,	135,	911.60

120,	671,	121,	730.14

110,	605,	109,	639.13

100,	549,	99,	637.62

90,	487,	88,	546.53

80,	401,	72,	365.22

70,	291,	52,	274.02

60,	110,	19,	0.00

50,	0,	0,	0.00

40,	0,	0,	0.00

30,	0,	0,	0.00

20,	0,	0,	0.00

10,	0,	0,	0.00

0,	0,	0,	0.00
