pwm,intr,RPM,speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	25,	4,	183.92

40,	25,	4,	182.54

50,	872,	158,	1094.35

60,	1056,	191,	1186.95

70,	1121,	203,	1278.76

80,	1162,	210,	1369.56

90,	1191,	216,	1367.94

100,	1215,	220,	1368.48

110,	1234,	223,	1367.40

120,	1249,	226,	1461.44

130,	1261,	228,	1459.71

140,	1271,	230,	1460.29

150,	1281,	232,	1460.29

160,	1289,	234,	1458.56

170,	1296,	235,	1461.44

180,	1305,	236,	1460.87

190,	1311,	237,	1551.56

200,	1318,	239,	1461.44

210,	1323,	240,	1550.94

220,	1331,	241,	1458.56

230,	1342,	243,	1551.56

240,	1349,	244,	1552.17

250,	1351,	244,	1548.50

260,	1353,	245,	1548.50
