pwm,intr,RPM,speed

260,	1413,	256,	1639.59

250,	1404,	254,	1552.17

240,	1398,	253,	1640.23

230,	1392,	252,	1552.17

220,	1383,	251,	1552.17

210,	1380,	250,	1640.23

200,	1372,	249,	1550.94

190,	1365,	247,	1552.17

180,	1358,	246,	1549.11

170,	1349,	244,	1549.11

160,	1340,	243,	1550.33

150,	1330,	241,	1550.33

140,	1318,	239,	1550.33

130,	1305,	236,	1550.94

120,	1289,	233,	1459.14

110,	1270,	230,	1457.98

100,	1249,	226,	1367.40

90,	1222,	221,	1367.94

80,	1191,	216,	1369.02

70,	1148,	208,	1276.74

60,	1085,	196,	1277.25

50,	1004,	182,	1185.08

40,	877,	159,	911.96

30,	698,	126,	820.12

20,	422,	76,	456.16

10,	20,	3,	0.00

0,	0,	0,	0.00
