pwm,intr,RPM,speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	0,	0,	0.00

40,	0,	0,	0.00

50,	0,	0,	0.00

60,	0,	0,	0.00

70,	0,	0,	0.00

80,	0,	0,	0.00

90,	0,	0,	0.00

100,	0,	0,	0.00

110,	0,	0,	0.00

120,	0,	0,	0.00

130,	0,	0,	0.00

140,	902,	163,	1093.92

150,	1003,	182,	1095.22

160,	1073,	194,	1186.02

170,	1135,	205,	1366.86

180,	1190,	216,	1370.10

190,	1237,	224,	1460.87

200,	1275,	231,	1459.71

210,	1308,	237,	1460.87

220,	1336,	242,	1459.14

230,	1362,	246,	1550.94

240,	1370,	248,	1550.33

250,	1369,	248,	1552.17

260,	1366,	247,	1547.89
