pwm,intr,RPM,speed

0,	0,	0,	0.00

10,	0,	0,	0.00

20,	0,	0,	0.00

30,	0,	0,	0.00

40,	0,	0,	0.00

50,	0,	0,	0.00

60,	0,	0,	0.00

70,	0,	0,	0.00

80,	0,	0,	0.00

90,	0,	0,	0.00

100,	1024,	185,	1185.55

110,	1109,	201,	1278.26

120,	1143,	207,	1276.74

130,	1170,	212,	1276.24

140,	1191,	215,	1367.94

150,	1217,	220,	1370.10

160,	1237,	224,	1369.02

170,	1258,	228,	1461.44

180,	1274,	231,	1459.71

190,	1286,	233,	1460.87

200,	1295,	235,	1459.71

210,	1301,	236,	1459.71

220,	1314,	238,	1460.29

230,	1326,	240,	1548.50

240,	1336,	242,	1552.17

250,	1345,	243,	1552.17

260,	1368,	248,	1549.11
