pwm,intr,RPM,speed

260,	1371,	248,	1550.94

250,	1369,	248,	1552.17

240,	1369,	248,	1550.33

230,	1363,	247,	1547.28

220,	1343,	243,	1552.78

210,	1315,	238,	1550.33

200,	1280,	232,	1460.87

190,	1238,	224,	1368.48

180,	1191,	216,	1370.10

170,	1138,	206,	1278.76

160,	1081,	196,	1276.74

150,	1018,	184,	1185.55

140,	950,	172,	1095.65

130,	872,	158,	1001.97

120,	794,	144,	912.32

110,	725,	131,	821.09

100,	652,	118,	730.43

90,	579,	105,	638.62

80,	500,	90,	547.82

70,	429,	77,	456.52

60,	358,	64,	365.22

50,	289,	52,	273.37

40,	214,	38,	273.48

30,	182,	33,	91.16

20,	3,	0,	0.00

10,	0,	0,	0.00

0,	0,	0,	0.00
