pwm,intr,RPM,speed

0,	0,	0,	0.00

10,	-2,	0,	0.00

20,	22,	3,	-91.34

30,	540,	98,	822.06

40,	962,	174,	1095.65

50,	1070,	194,	1186.95

60,	1138,	206,	1278.26

70,	1187,	215,	1370.10

80,	1222,	222,	1278.26

90,	1247,	226,	1457.41

100,	1267,	230,	1368.48

110,	1288,	233,	1461.44

120,	1302,	236,	1460.87

130,	1316,	238,	1551.56

140,	1328,	241,	1459.71

150,	1338,	242,	1459.71

160,	1348,	244,	1552.78

170,	1355,	246,	1459.71

180,	1363,	247,	1552.17

190,	1371,	248,	1552.78

200,	1377,	250,	1550.94

210,	1385,	251,	1549.72

220,	1391,	252,	1641.53

230,	1397,	253,	1642.18

240,	1402,	254,	1549.72

250,	1408,	255,	1552.17

260,	1413,	256,	1638.94
