pwm,intr,RPM,speed

260,	1349,	244,	1550.33

250,	1346,	244,	1549.11

240,	1339,	242,	1459.14

230,	1340,	243,	1549.11

220,	1336,	242,	1550.33

210,	1334,	241,	1550.33

200,	1329,	241,	1459.14

190,	1324,	240,	1550.94

180,	1314,	238,	1550.33

170,	1304,	236,	1459.71

160,	1295,	234,	1458.56

150,	1288,	233,	1459.71

140,	1275,	231,	1458.56

130,	1265,	229,	1460.87

120,	1252,	227,	1459.14

110,	1241,	225,	1459.71

100,	1227,	222,	1367.40

90,	1207,	218,	1370.10

80,	1176,	213,	1367.94

70,	1140,	206,	1367.40

60,	1082,	196,	1186.02

50,	999,	181,	1096.08

40,	872,	158,	911.60

30,	688,	124,	821.74

20,	462,	83,	455.98

10,	80,	14,	0.00

0,	0,	0,	0.00
