pwm,intr,RPM,speed

260,	1363,	247,	1549.72

250,	1357,	246,	1548.50

240,	1353,	245,	1552.17

230,	1350,	245,	1549.72

220,	1343,	243,	1549.11

210,	1334,	242,	1550.33

200,	1326,	240,	1458.56

190,	1319,	239,	1459.71

180,	1309,	237,	1459.71

170,	1302,	235,	1460.87

160,	1295,	235,	1459.71

150,	1289,	234,	1459.14

140,	1276,	231,	1461.44

130,	1260,	228,	1458.56

120,	1244,	225,	1458.56

110,	1227,	222,	1457.98

100,	1206,	218,	1368.48

90,	1190,	216,	1367.94

80,	1149,	208,	1276.24

70,	1102,	199,	1275.23

60,	1036,	188,	1094.35

50,	947,	171,	1094.35

40,	815,	147,	912.32

30,	633,	114,	730.43

20,	362,	65,	365.07

10,	6,	1,	0.00

0,	0,	0,	0.00
