pwm,intr,RPM,speed

260,	1365,	247,	1551.56

250,	1362,	247,	1637.65

240,	1356,	246,	1550.33

230,	1349,	244,	1550.33

220,	1343,	243,	1550.33

210,	1338,	242,	1549.72

200,	1333,	241,	1548.50

190,	1327,	240,	1550.33

180,	1319,	239,	1460.87

170,	1313,	238,	1552.17

160,	1304,	236,	1461.44

150,	1295,	234,	1461.44

140,	1287,	233,	1459.14

130,	1275,	231,	1457.98

120,	1264,	229,	1369.02

110,	1247,	226,	1458.56

100,	1229,	222,	1456.84

90,	1206,	218,	1370.10

80,	1177,	213,	1369.56

70,	1132,	205,	1278.26

60,	1080,	195,	1275.74

50,	1002,	181,	1184.15

40,	873,	158,	1003.55

30,	691,	125,	729.57

20,	455,	82,	456.16

10,	74,	13,	-91.99

0,	0,	0,	0.00
