pwm,intr,RPM,speed

260,	1414,	256,	1641.53

250,	1387,	251,	1639.59

240,	1381,	250,	1639.59

230,	1372,	249,	1552.78

220,	1364,	247,	1551.56

210,	1355,	245,	1552.17

200,	1345,	244,	1550.33

190,	1334,	241,	1459.71

180,	1323,	240,	1550.33

170,	1309,	237,	1548.50

160,	1294,	234,	1460.29

150,	1278,	232,	1460.29

140,	1256,	227,	1457.41

130,	1232,	223,	1369.02

120,	1203,	218,	1369.56

110,	1172,	212,	1366.32

100,	1131,	205,	1278.26

90,	1085,	196,	1275.23

80,	1022,	185,	1186.02

70,	939,	170,	1002.76

60,	833,	151,	912.68

50,	707,	128,	730.14

40,	533,	96,	547.61

30,	315,	57,	273.48

20,	6,	1,	0.00

10,	0,	0,	0.00

0,	0,	0,	0.00
